data_hora,pressao,temperatura
03/02/2018 17:19,76.412209,120.2098
03/02/2018 17:19,76.448879,120.2089
03/02/2018 17:19,76.487371,120.2078
03/02/2018 17:19,76.524604,120.2068
03/02/2018 17:19,76.565783,120.2059
03/02/2018 17:19,76.604176,120.205
03/02/2018 17:20,76.641507,120.2039
03/02/2018 17:20,76.678556,120.2028
03/02/2018 17:20,76.718043,120.2019
03/02/2018 17:20,76.75791,120.2008
03/02/2018 17:20,76.793981,120.2
03/02/2018 17:20,76.833632,120.1988
03/02/2018 17:20,76.872902,120.1978
03/02/2018 17:20,76.907065,120.1968
03/02/2018 17:20,76.943235,120.1958
03/02/2018 17:20,76.980663,120.1946
03/02/2018 17:20,77.015638,120.1937
03/02/2018 17:20,77.051525,120.1926
03/02/2018 17:21,77.08985,120.1918
03/02/2018 17:21,77.127709,120.1908
03/02/2018 17:21,77.164191,120.1897
03/02/2018 17:21,77.199166,120.1888
03/02/2018 17:21,77.23787,120.1877
03/02/2018 17:21,77.275165,120.1867
03/02/2018 17:21,77.311332,120.1857
03/02/2018 17:21,77.345179,120.1848
03/02/2018 17:21,77.382093,120.1839
03/02/2018 17:21,77.414779,120.1831
03/02/2018 17:21,77.450631,120.1821
03/02/2018 17:21,77.485604,120.1812
03/02/2018 17:22,77.522019,120.1802
03/02/2018 17:22,77.557588,120.1792
03/02/2018 17:22,77.592528,120.1784
03/02/2018 17:22,77.62619,120.1773
03/02/2018 17:22,77.665423,120.1763
03/02/2018 17:22,77.699897,120.1753
03/02/2018 17:22,77.735151,120.1744
03/02/2018 17:22,77.770719,120.1734
03/02/2018 17:22,77.808128,120.1727
03/02/2018 17:22,77.843231,120.1716
03/02/2018 17:22,77.877737,120.1705
03/02/2018 17:22,77.915343,120.1694
03/02/2018 17:23,77.950976,120.1683
03/02/2018 17:23,77.986392,120.1672
03/02/2018 17:23,78.022241,120.1662
03/02/2018 17:23,78.06001,120.1649
03/02/2018 17:23,78.094049,120.1637
03/02/2018 17:23,78.130442,120.1623
03/02/2018 17:23,78.165857,120.1611
03/02/2018 17:23,78.198553,120.1598
03/02/2018 17:23,78.231464,120.1586
